Product,Status,Release Date,Code Name,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Celeron G3900E,Launched,Q1'16,Skylake,2,2,14,N/A,2.40,35,2,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,Intel HD 510 Graphics
Celeron G3902E,Launched,Q1'16,Skylake,2,2,14,N/A,1.60,25,2,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,Intel HD 510 Graphics
Celeron G3900,Launched,Q4'15,Skylake,2,2,14,N/A,2.80,51,2,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,Intel HD 510 Graphics
Celeron G3900T,Discontinued,Q4'15,Skylake,2,2,14,N/A,2.60,35,2,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,Intel HD 510 Graphics
Celeron G3900TE,Launched,Q4'15,Skylake,2,2,14,N/A,2.30,35,2,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,Intel HD 510 Graphics
Celeron G3920,Discontinued,Q4'15,Skylake,2,2,14,N/A,2.90,51,2,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,Intel HD 510 Graphics
Celeron G1840,Discontinued,Q2'14,Haswell,2,2,22,N/A,2.80,53,2,N/A,32,N/A,N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron G1840T,Discontinued,Q2'14,Haswell,2,2,22,N/A,2.50,35,2,N/A,32,"DDR-1333, DDR3L-1333 @ 1.5V",N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron G1850,Discontinued,Q2'14,Haswell,2,2,22,N/A,2.90,53,2,N/A,32,"DDR-1333, DDR3L-1333 @ 1.5V",N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron G1820T,Discontinued,Q1'14,Haswell,2,2,22,N/A,2.20,35,2,Intel Smart Cache,32,DDR3,1333,Intel HD Graphics for 4th Gen Intel Processors
Celeron G1820,Discontinued,Q1'14,Haswell,2,2,22,N/A,2.70,53,2,Intel Smart Cache,32,"DDR3-1333, DDR3L-1333 @ 1.5V",N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron G1820T,Discontinued,Q1'14,Haswell,2,2,22,N/A,2.40,35,2,Intel Smart Cache,32,"DDR3-1333, DDR3L-1333 @ 1.5V",N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron G1830,Discontinued,Q1'14,Haswell,2,2,22,N/A,2.80,53,2,Intel Smart Cache,32,"DDR3-1333, DDR3L-1333 @ 1.5V",N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron G1620T,Discontinued,Q3'13,Ivy Bridge,2,2,22,N/A,2.40,35,2,Intel Smart Cache,32,DDR3,1333,Intel HD Graphics for 3rd Gen Intel Processors
Celeron G1630,Discontinued,Q3'13,Ivy Bridge,2,2,22,N/A,2.80,55,2,Intel Smart Cache,32,DDR3,1333,Intel HD Graphics for 3rd Gen Intel Processors
Celeron G1610,Discontinued,Q1'13,Ivy Bridge,2,2,22,N/A,2.60,55,2,Intel Smart Cache,32,DDR3,1333,Intel HD Graphics for 3rd Gen Intel Processors
Celeron G1610T,Discontinued,Q1'13,Ivy Bridge,2,2,22,N/A,2.30,35,2,Intel Smart Cache,32,DDR3,1333,Intel HD Graphics for 3rd Gen Intel Processors
Celeron G1620,Discontinued,Q1'13,Ivy Bridge,2,2,22,N/A,2.70,55,2,Intel Smart Cache,32,DDR3,1333,Intel HD Graphics for 3rd Gen Intel Processors
Celeron J6412,Launched,Q1'21,Elkhart Lake,4,4,10,N/A,2.00,10,1.5,L2 Cache,32,"4x32 LPDDR4/x 3733MT/s Max (8GB, 16GB @3200MT/s) / 2x64 DDR4 3200MT/s Max 32GB",N/A,Intel UHD Graphics for 10th Gen Intel Core Processors
Celeron J6413,Launched,Q1'21,Elkhart Lake,4,4,10,N/A,1.80,10,1.5,L2 Cache,32,"4x32 LPDDR4/x 3733MT/s Max (8GB, 16GB @3200MT/s) / 2x64 DDR4 3200MT/s Max 32GB",N/A,Intel UHD Graphics for 10th Gen Intel Core Processors
Celeron J4025,Discontinued,Q4'19,Gemini Lake Refresh,2,2,14,N/A,2.00,10,4,N/A,8,"DDR4/LPDDR4 up to 2400 MT/s",N/A,Intel UHD 600 Graphics
Celeron J4125,Discontinued,Q4'19,Gemini Lake Refresh,4,4,14,N/A,2.00,10,4,N/A,8,"DDR4/LPDDR4 up to 2400 MT/s",N/A,Intel UHD 600 Graphics
Celeron J3355E,Discontinued,Q3'19,Apollo Lake,2,2,14,2.50,2.00,10,2,N/A,8,"DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",N/A,Intel HD 500 Graphics
Celeron J3455E,Discontinued,Q3'19,Apollo Lake,4,4,14,2.30,1.50,10,2,N/A,8,"DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",N/A,Intel HD 500 Graphics
Celeron J4005,Discontinued,Q4'17,Gemini Lake,2,2,14,N/A,2.00,10,4,N/A,8,"DDR4/LPDDR4 up to 2400 MT/s",N/A,Intel UHD 600 Graphics
Celeron J4105,Discontinued,Q4'17,Gemini Lake,4,4,14,N/A,1.50,10,4,N/A,8,"DDR4/LPDDR4 up to 2400 MT/s",N/A,Intel UHD 600 Graphics
Celeron J3355,Launched,Q3'16,Apollo Lake,2,2,14,N/A,2.00,10,2,N/A,8,"DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",N/A,Intel HD 500 Graphics
Celeron J3455,Launched,Q3'16,Apollo Lake,4,4,14,N/A,1.50,10,2,N/A,8,"DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",N/A,Intel HD 500 Graphics
Celeron J3060,Discontinued,Q1'16,Braswell,2,2,14,N/A,1.60,6,2,L2 Cache,8,DDR3L,1600,Name Unknown
Celeron J3160,Discontinued,Q1'16,Braswell,4,4,14,N/A,1.60,6,2,L2 Cache,8,DDR3L,1600,Name Unknown
Celeron J1800,Launched,Q4'13,Bay Trail,2,2,22,N/A,2.41,10,1,L2 Cache,8,DDR3L,1333,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron J1900,Launched,Q4'13,Bay Trail,4,4,22,N/A,2.00,10,2,L2 Cache,8,DDR3L,1333,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron J1750,Discontinued,Q3'13,Bay Trail,2,2,22,N/A,2.41,10,1,L2 Cache,8,DDR3L,1333,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron J1850,Discontinued,Q3'13,Bay Trail,4,4,22,N/A,2.00,10,2,L2 Cache,8,DDR3L,1333,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron N4500,Launched,Q1'21,Jasper Lake,2,2,10,N/A,1.10,6,4,Intel Smart Cache,16,"DDR4, LPDDR4x",2933,Intel UHD Graphics
Celeron N4505,Launched,Q1'21,Jasper Lake,2,2,10,N/A,2.00,10,4,Intel Smart Cache,16,"DDR4, LPDDR4x",2933,Intel UHD Graphics
Celeron N5100,Launched,Q1'21,Jasper Lake,4,4,10,N/A,1.10,6,4,Intel Smart Cache,16,"DDR4, LPDDR4x",2933,Intel UHD Graphics
Celeron N5105,Launched,Q1'21,Jasper Lake,4,4,10,N/A,2.00,10,4,Intel Smart Cache,16,"DDR4, LPDDR4x",2933,Intel UHD Graphics
Celeron N6211,Launched,Q1'21,Elkhart Lake,2,2,10,N/A,1.20,6.5,1.5,L2 Cache,32,"4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB",N/A,Intel UHD Graphics for 10th Gen Intel Core Processors
Celeron N4020,Discontinued,Q4'19,Gemini Lake Refresh,2,2,14,N/A,1.10,6,4,N/A,8,"DDR4/LPDDR4 (SRET0) up to 2400 MT/s, DDR4 (SRKLL) up to 2400 MT/s",N/A,Intel UHD 600 Graphics
Celeron N4120,Discontinued,Q4'19,Gemini Lake Refresh,4,4,14,N/A,1.10,6,4,N/A,8,"DDR4/LPDDR4 up to 2400 MT/s",N/A,Intel UHD 600 Graphics
Celeron N3350E,Discontinued,Q3'19,Apollo Lake,2,2,14,N/A,1.10,6,2,N/A,8,"DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",N/A,Intel HD 500 Graphics
Celeron N4000,Discontinued,Q4'17,Gemini Lake,2,2,14,N/A,1.10,6,4,N/A,8,"DDR4/LPDDR4 up to 2400 MT/s",N/A,Intel UHD 600 Graphics
Celeron N4100,Discontinued,Q4'17,Gemini Lake,4,4,14,N/A,1.10,6,4,N/A,8,"DDR4/LPDDR4 up to 2400 MT/s",N/A,Intel UHD 600 Graphics
Celeron N3350,Launched,Q3'16,Apollo Lake,2,2,14,N/A,1.10,6,2,L2 Cache,8,"DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",N/A,Intel HD 500 Graphics
Celeron N3450,Launched,Q3'16,Apollo Lake,4,4,14,N/A,1.10,6,2,L2 Cache,8,"DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",N/A,Intel HD 500 Graphics
Celeron N3010,Launched,Q1'16,Braswell,2,2,14,N/A,1.04,4,2,L2 Cache,8,DDR3L,1600,Name Unknown
Celeron N3060,Launched,Q1'16,Braswell,2,2,14,N/A,1.60,6,2,L2 Cache,8,DDR3L,1600,Name Unknown
Celeron N3160,Launched,Q1'16,Braswell,4,4,14,N/A,1.60,6,2,L2 Cache,8,DDR3L,1600,Name Unknown
Celeron N3000,Discontinued,Q1'15,Braswell,2,2,14,N/A,1.04,4,2,L2 Cache,8,DDR3L,1600,Intel HD Graphics for Intel Celeron N3000 Processor Series
Celeron N3050,Discontinued,Q1'15,Braswell,2,2,14,N/A,1.60,6,2,L2 Cache,8,DDR3L,1600,Intel HD Graphics for Intel Celeron N3000 Processor Series
Celeron N3150,Discontinued,Q1'15,Braswell,4,4,14,N/A,1.60,6,2,L2 Cache,8,DDR3L,1600,Intel HD Graphics for Intel Celeron N3000 Processor Series
Celeron N2808,Discontinued,Q3'14,Bay Trail,2,2,22,N/A,1.58,4.5,1,L2 Cache,4,DDR3L,1333,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron N2840,Discontinued,Q3'14,Bay Trail,2,2,22,N/A,2.16,7.5,1,L2 Cache,8,DDR3L,1333,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron N2940,Discontinued,Q3'14,Bay Trail,4,4,22,N/A,1.83,7.5,2,L2 Cache,8,DRR3L,1333,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron N2807,Launched,Q1'14,Bay Trail,2,2,22,N/A,1.58,4.3,1,N/A,4,DDR3L,1333,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron N2830,Discontinued,Q1'14,Bay Trail,2,2,22,N/A,2.16,7.3,1,N/A,8,DDR3L,1333,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron N2930,Launched,Q1'14,Bay Trail,4,4,22,N/A,1.83,7.5,2,N/A,8,DDR3L,1333,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron N2806,Discontinued,Q4'13,Bay Trail,2,2,22,N/A,1.60,4.5,1,N/A,4,DDR3L,1066,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron N2815,Discontinued,Q4'13,Bay Trail,2,2,22,N/A,1.86,7.5,1,N/A,8,DDR3L,1066,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron N2820,Discontinued,Q4'13,Bay Trail,2,2,22,N/A,2.13,7.5,1,N/A,8,DDR3L,1066,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron N2920,Discontinued,Q4'13,Bay Trail,4,4,22,N/A,1.86,7.5,2,N/A,8,DDR3L,1066,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron N2805,Discontinued,Q3'13,Bay Trail,2,2,22,N/A,1.46,4.3,1,N/A,4,DDR3L,1066,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron N2810,Discontinued,Q3'13,Bay Trail,2,2,22,N/A,2.00,7.5,1,N/A,8,DDR3L,1066,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron N2910,Discontinued,Q3'13,Bay Trail,4,4,22,N/A,1.60,7.5,2,N/A,8.79,DDR3L,1066,Intel HD Graphics for Intel Atom Z3700 Processor Series
Celeron 7305L,Launched,Q3'22,Alder Lake,5,5,7,1.10,1.10,15,8,Intel Smart Cache,64,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s, Up to LPDDR5 5200 MT/s, Up to LPDDR4x 4267 MT/s",N/A,Intel UHD Graphics for 12th Gen Intel Processors
Celeron 7305E,Launched,Q1'22,Alder Lake,5,5,7,N/A,1.00,15,8,Intel Smart Cache,64,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s, Up to LPDDR5 5200 MT/s, Up to LPDDR4x 4267 MT/s",N/A,Intel UHD Graphics for 12th Gen Intel Processors
Celeron 7300,Launched,Q1'22,Alder Lake,5,5,7,N/A,N/A,9,8,Intel Smart Cache,64,"Up to LPDDR5 5200 MT/s, Up to LPDDR4x 4267 MT/s",N/A,Intel UHD Graphics for 12th Gen Intel Processors
Celeron 7305,Launched,Q1'22,Alder Lake,5,5,7,N/A,N/A,15,8,Intel Smart Cache,64,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s, Up to LPDDR5 5200 MT/s, Up to LPDDR4x 4267 MT/s",N/A,Intel UHD Graphics for 12th Gen Intel Processors
Celeron 6600HE,Launched,Q3'21,Tiger Lake,2,2,10,N/A,2.60,35,8,Intel Smart Cache,128,DDR4,3200,Intel UHD Graphics for 11th Gen Intel Core Processors
Celeron 6305,Launched,Q4'20,Tiger Lake,2,2,10,N/A,1.80,15,4,Intel Smart Cache,64,"DDR4-3200, LPDDR4x-3733",N/A,Intel UHD Graphics for 11th Gen Intel Core Processors
Celeron 6305E,Launched,Q4'20,Tiger Lake,2,2,10,N/A,1.80,15,4,Intel Smart Cache,64,"DDR4-3200, LPDDR4x-3733",N/A,Intel UHD Graphics
Celeron 5305U,Discontinued,Q2'20,Comet Lake,2,2,14,N/A,2.30,15,2,N/A,64,"DDR4-2400, LPDDR3-2133",N/A,Intel UHD Graphics for 10th Gen Intel Core Processors
Celeron 5205U,Discontinued,Q4'19,Comet Lake,2,2,14,N/A,1.90,15,2,N/A,64,"DDR4-2400, LPDDR3-2133",N/A,Intel UHD Graphics for 10th Gen Intel Core Processors
Celeron 4305U,Discontinued,Q2'19,Whiskey Lake,2,2,14,N/A,2.20,15,2,Intel Smart Cache,64,"DDR4-2133, LPDDR3-1866",N/A,Intel UHD Graphics for 8th Gen Intel Processors
Celeron 4205U,Discontinued,Q1'19,Whiskey Lake,2,2,14,N/A,1.80,15,2,Intel Smart Cache,64,"DDR4-2133, LPDDR3-1866",N/A,Intel UHD Graphics for 8th Gen Intel Processors
Celeron 4305UE,Discontinued,Q3'18,Whiskey Lake,2,2,14,N/A,2.00,15,2,Intel Smart Cache,64,"DDR4-2133, LPDDR3-1866",N/A,Intel UHD Graphics 610
Celeron 3867U,Discontinued,Q1'19,Kaby Lake R,2,2,14,N/A,1.80,15,2,Intel Smart Cache,32,"DDR4-2133, LPDDR3-1866, DDR3L-1600",N/A,Intel HD 610 Graphics
Celeron 3965Y,Discontinued,Q2'17,Kaby Lake,2,2,14,N/A,1.50,6,2,Intel Smart Cache,16,"LPDDR3-1866, DDR3L-1600",N/A,Intel HD 615 Graphics
Celeron 3865U,Discontinued,Q1'17,Kaby Lake,2,2,14,N/A,1.80,15,2,Intel Smart Cache,32,"DDR4-2133, LPDDR3-1866, DDR3L-1600",N/A,Intel HD 610 Graphics
Celeron 3965U,Launched,Q1'17,Kaby Lake,2,2,14,N/A,2.20,15,2,Intel Smart Cache,32,"DDR4-2133, LPDDR3-1866, DDR3L-1600",N/A,Intel HD 610 Graphics
Celeron 3855U,Discontinued,Q4'15,Skylake,2,2,14,N/A,1.60,15,2,Intel Smart Cache,32,"DDR4-1866/2133, LPDDR3-1600/1866, DDR3L-1333/1600",N/A,Intel HD 510 Graphics
Celeron 3955U,Launched,Q4'15,Skylake,14,2,2,N/A,2.00,15,2,Intel Smart Cache,32,"DDR4-1866/2133, LPDDR3-1600/1866, DDR3L-1333/1600",N/A,Intel HD 510 Graphics
Celeron 3215U,Discontinued,Q2'15,Broadwell,2,2,14,N/A,1.70,15,2,N/A,16,"DDR3L 1333/1600 LPDDR3 1333/1600",N/A,Intel HD Graphics for 5th Gen Intel Processors
Celeron 3765U,Discontinued,Q2'15,Broadwell,2,2,14,N/A,1.90,15,2,N/A,16,"DDR3L 1333/1600 LPDDR3 1333/1600",N/A,Intel HD Graphics for 5th Gen Intel Processors
Celeron 3205U,Discontinued,Q1'15,Broadwell,2,2,14,N/A,1.50,15,2,N/A,16,"DDR3L 1333/1600 LPDDR3 1333/1600",N/A,Intel HD Graphics for 5th Gen Intel Processors
Celeron 3775U,Discontinued,Q1'15,Broadwell,2,2,14,N/A,1.70,15,2,N/A,16,"DDR3L 1333/1600 LPDDR3 1333/1600",N/A,Intel HD Graphics for 5th Gen Intel Processors
Celeron 2970M,Discontinued,Q2'14,Haswell,2,2,22,N/A,2.20,37,2,Intel Smart Cache,32,DDR3L 1333/1600,N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron 2000E,Discontinued,Q1'14,Haswell,2,2,22,N/A,2.20,37,2,Intel Smart Cache,32,DDR3L 1333/1600,N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron 2002E,Discontinued,Q1'14,Haswell,2,2,22,N/A,1.50,25,2,Intel Smart Cache,32,DDR3L 1333/1600,N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron 2957U,Discontinued,Q4'13,Haswell,2,2,22,N/A,1.40,15,2,Intel Smart Cache,16,"DDR3L 1333/1600, LPDDR3 1333/1600",N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron 2961Y,Discontinued,Q4'13,Haswell,2,2,22,N/A,1.10,11.5,2,Intel Smart Cache,16,"DDR3L 1333/1600, LPDDR3 1333/1600",N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron 2981U,Discontinued,Q4'13,Haswell,2,2,22,N/A,1.60,15,2,Intel Smart Cache,16,"DDR3L 1333/1600, LPDDR3 1333/1600",N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron 2950M,Discontinued,Q4'13,Haswell,2,2,22,N/A,2.00,37,2,Intel Smart Cache,32,DDR3L 1333/1600,N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron 2955U,Discontinued,Q3'13,Haswell,2,2,22,N/A,1.40,15,2,Intel Smart Cache,16,"DDR3L 1333/1600, LPDDR3 1333/1600",N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron 2980U,Discontinued,Q3'13,Haswell,2,2,22,N/A,1.60,15,2,Intel Smart Cache,16,"DDR3L 1333/1600, LPDDR3 1333/1600",N/A,Intel HD Graphics for 4th Gen Intel Processors
Celeron 1005M,Discontinued,Q3'13,Ivy Bridge,2,2,22,N/A,1.90,35,2,N/A,32,"DDR3/L/-RS 1333/1600",N/A,Intel HD Graphics for 3rd Gen Intel Processors
Celeron 1017U,Discontinued,Q3'13,Ivy Bridge,2,2,22,N/A,1.60,17,2,N/A,32,"DDR3/L/-RS 1333/1600",N/A,Intel HD Graphics for 3rd Gen Intel Processors
Celeron 1019Y,Discontinued,Q2'13,Ivy Bridge,2,2,22,N/A,1.00,10,2,N/A,32,"DDR3/L/-RS 1333/1600",N/A,Intel HD Graphics for 3rd Gen Intel Processors
Celeron 1000M,Discontinued,Q1'13,Ivy Bridge,2,2,22,N/A,1.80,35,2,Intel Smart Cache,32,"DDR3/L/-RS 1333/1600",N/A,Intel HD Graphics for 3rd Gen Intel Processors
Celeron 1007U,Discontinued,Q1'13,Ivy Bridge,2,2,22,N/A,1.50,17,2,Intel Smart Cache,32,"DDR3/L/-RS 1333/1600",N/A,Intel HD Graphics for 3rd Gen Intel Processors
Celeron 1020E,Discontinued,Q1'13,Ivy Bridge,2,2,22,N/A,2.20,35,2,Intel Smart Cache,16,"DDR3/DDR3L 1333/1600",N/A,Intel HD Graphics for 3rd Gen Intel Processors
Celeron 1020M,Discontinued,Q1'13,Ivy Bridge,2,2,22,N/A,2.10,35,2,Intel Smart Cache,32,"DDR3/L/-RS 1333/1600",N/A,Intel HD Graphics for 3rd Gen Intel Processors
Celeron 1037U,Discontinued,Q1'13,Ivy Bridge,2,2,22,N/A,1.80,17,2,Intel Smart Cache,32,"DDR3/L/-RS 1333/1600",N/A,Intel HD Graphics for 3rd Gen Intel Processors
Celeron 1047UE,Discontinued,Q1'13,Ivy Bridge,2,2,22,N/A,1.40,17,2,Intel Smart Cache,16,"DDR3/DDR3L 1333/1600",N/A,Intel HD Graphics for 3rd Gen Intel Processors
Celeron G470,Discontinued,Q2'13,Sandy Bridge,1,2,32,N/A,2.00,35,1.5,Intel Smart Cache,32,DDR3 1066/1333,N/A,Intel HD Graphics for 2nd Gen Intel Processors
Celeron 927UE,Discontinued,Q1'13,Ivy Bridge,1,1,22,N/A,1.50,17,1,Intel Smart Cache,16,DDR3/DDR3L 1333/1600,N/A,Intel HD Graphics for 3rd Gen Intel Processors
Celeron 887,Discontinued,Q3'12,Sandy Bridge,2,2,32,N/A,1.50,17,2,L3 Cache,16,DDR3 1066/1333,N/A,Intel HD Graphics for 2nd Gen Intel Processors
Celeron B830,Discontinued,Q3'12,Sandy Bridge,2,2,32,N/A,1.80,35,2,L3 Cache,16,DDR3 1066/1333,N/A,Intel HD Graphics for 2nd Gen Intel Processors
Celeron G465,Discontinued,Q3'12,Sandy Bridge,1,2,32,N/A,1.90,35,1.5,Intel Smart Cache,32,DDR3,1066,Intel HD Graphics for 2nd Gen Intel Processors
Celeron G550T,Discontinued,Q3'12,Sandy Bridge,2,2,32,N/A,2.20,35,2,Intel Smart Cache,32,DDR3,1066,Intel HD Graphics for 2nd Gen Intel Processors
Celeron G555,Discontinued,Q3'12,Sandy Bridge,2,2,32,N/A,2.70,65,2,Intel Smart Cache,32,DDR3,1066,Intel HD Graphics for 2nd Gen Intel Processors
Celeron 807,Discontinued,Q2'12,Sandy Bridge,1,2,32,N/A,1.50,17,1.5,L3 Cache,16,DDR3 1066/1333,N/A,Intel HD Graphics for 2nd Gen Intel Processors
Celeron 877,Discontinued,Q2'12,Sandy Bridge,2,2,32,N/A,1.40,17,2,L3 Cache,16,DDR3 1066/1333,N/A,Intel HD Graphics for 2nd Gen Intel Processors
Celeron B820,Discontinued,Q3'12,Sandy Bridge,2,2,32,N/A,1.70,35,2,N/A,16,DDR3 1066/1333,N/A,Intel HD Graphics for 2nd Gen Intel Processors
Celeron G540T,Discontinued,Q2'12,Sandy Bridge,2,2,32,N/A,2.10,35,2,Intel Smart Cache,32,DDR3,1066,Intel HD Graphics for 2nd Gen Intel Processors
